username,full_text,lang,reply_count,quote_count,favorite_count,view_count,created_at,tweet_url
@ynn79538783,"@PT_Transjakarta min rute dari jembatan besi ke prj dong, tapi yang ngga muter²",in,2,,,42,2023-07-08T18:53:02.000Z,/ynn79538783/status/1677752672173318145
@bcwolfgang,"wts tiket prj + konser 15 juli, dijual karna salah tgl huhu

#zonauang #zonajajan",in,,,,209,2023-07-08T18:46:16.000Z,/bcwolfgang/status/1677750966760923136
@nglilu,"once again gw liat reply ttg nicsap d prj waktu itu isinya banyak yg menjijikkan
plis plis pliss bgt masa gatau klo yg kalian ketik tuh uda masuk ranah pelecehan
doi lg kerja coy as BA, tolong bgt dijaga ketikannya",in,,,,27,2023-07-08T18:46:03.000Z,/nglilu/status/1677750913296134144
@juliuuxx,"Td pas di prj mampir2 ke stand perumahan sama apart, jomplang banget sales biyuemen sama swasta, yg swasta salesnya bener2 detail ngasih informasi, jelas, runtut, sopan santun, ga ngegas

yg satunya jangan ditanya wkwk",in,,,,41,2023-07-08T18:42:56.000Z,/juliuuxx/status/1677750130542522369
@kuymiiii,Mo bikin a day in my life edisi prj tapi ternyata aku sejompo itu dan emg ga ahli jadi content creator,in,,,,28,2023-07-08T18:41:47.000Z,/kuymiiii/status/1677749839898222592
@kuymiiii,YaAllah jompo kieu udah keliling prj,in,,,,34,2023-07-08T18:30:11.000Z,/kuymiiii/status/1677746919962214400
@adthenna,"tmi gue dua hari full jalan jalan pake heels, kemaren ke prj pake heels, tadi ke puncak pake heels juga, baru kerasa kenceng ini betis skrg",in,1,,,180,2023-07-08T18:25:02.000Z,/adthenna/status/1677745626220752896
@krnulfff,Banyak drama prj,in,,,,13,2023-07-08T18:22:06.000Z,/krnulfff/status/1677744886525874176
@zelimhwa98,"iyahhh untungnya kemaren ke PRJ ada kacamata promoan jadi aku sekalian beli kacamata disanaa ;""))",in,,,,29,2023-07-08T18:15:26.000Z,/zelimhwa98/status/1677743207139143680
@orexgon,oleh-oleh dari prj,in,,,,26,2023-07-08T18:13:56.000Z,/orexgon/status/1677742830905856006
@txtfrominne,wtb prj vip 9 juli - the adams,in,,,,79,2023-07-08T18:13:40.000Z,/txtfrominne/status/1677742761855045632
@yourdopaminn,"WTS, tiket konser reguler prj 9 juli.
Only 70k",in,,,,78,2023-07-08T18:04:48.000Z,/yourdopaminn/status/1677740531294834689
@xibobaaas,"masyaallah prj rame pol, cape bangeddd",in,,,1,19,2023-07-08T18:02:59.000Z,/xibobaaas/status/1677740076678402048
@Tdaaa921,Mumpung lagi ada prj asli wajib coba kamu tyong,in,,,,55,2023-07-08T18:02:20.000Z,/Tdaaa921/status/1677739909698957312
@rancangrenjana,Nonton di prj?,in,1,,,45,2023-07-08T17:54:23.000Z,/rancangrenjana/status/1677737912262365185
@Mahendraarzky23,Parkir PRJ dipegang ormas wkwk gile mahal bet 20 rebu,in,,,,42,2023-07-08T17:46:59.000Z,/Mahendraarzky23/status/1677736048129101824
@PT_Transjakarta,"Hai kak, silakan naik koridor 1 arah Kota transit di halte Monas lalu naik koridor 2 arah Pulogadung transit di halte Balaikota dan naik rute 2C arah PRJ. Terima kasih ^ZL",in,1,,,61,2023-07-08T17:46:03.000Z,/PT_Transjakarta/status/1677735812081885184
@Disuruh_Iben,"Cak Imin akan Sowan ke Megawati, Rekening Mertua Andhi Pramono, PRJ Akhir Pekan [TOP 3 NEWS] - Kompas TV #Prabowo #BangkitBersama",in,,,,20,2023-07-08T17:45:09.000Z,/Disuruh_Iben/status/1677735589016371201
@orangeforjy,asalkan jgn ke prj aj sih gila soalny adek w kna copet dsno,in,,,,40,2023-07-08T17:31:30.000Z,/orangeforjy/status/1677732150366576642
