username,full_text,lang,reply_count,quote_count,favorite_count,view_count,created_at,tweet_url
@mobbi_id,"Mo jual, beli, atau tukar tambah mobil di PRJ 2023? Bisa banget dong~

Cus temuin mobbi di area Open Space, JIExpo Kemayoran! 

Jangan lupa, banyak promo dan kejutan menarik yang nungguin kamu semua Sobi!

#mobbidariASTRA #mobbiPestaMobilBekas #mobbiJakartaFair #mobbicertified",in,,,1,459,2023-06-16T02:19:58.000Z,/mobbi_id/status/1669530226278428673
@_rakyatmerdeka,"Top News Koran Rakyat Merdeka

PRJ Momentum Kerek Potensi Ekonomi Lokal",in,,,,14,2023-06-16T02:18:12.000Z,/_rakyatmerdeka/status/1669529779803148288
@liberouno_,Kamu weekend free gak? Aku mau ajak kamu ke PRJ,in,4,,5,634,2023-06-16T02:17:52.000Z,/liberouno_/status/1669529696462319617
@ty_tix30101,Prj udh buka kamu gaada niatan ngajak aku kuliner disana hehe,in,,,,126,2023-06-16T02:13:04.000Z,/ty_tix30101/status/1669528487542288384
@rjnthoughts,kok tiba-tiba mau ke prj yaaaa,in,,,,37,2023-06-16T02:09:54.000Z,/rjnthoughts/status/1669527689039081474
@dewepratama,Hayu ke prj,in,1,,,42,2023-06-16T02:07:58.000Z,/dewepratama/status/1669527205796532225
@kompascom,Rekomendasi sejumlah oleh-oleh PRJ atau Jakarta Fair 2023 untuk dibawa pulang.,in,,,1,"2,723",2023-06-16T02:01:02.000Z,/kompascom/status/1669525461326778368
@bigwinlagiya,Mau ke prj minggu ini. Rame bgt g y,in,,,,32,2023-06-16T01:59:38.000Z,/bigwinlagiya/status/1669525105347817472
@maulida_ag,"PRJ juga sekaligus menjadi momen peringatan HUT Kota Jakarta yang jatuh pada tanggal 22 Juni.

@ngopibareng_DAR

Kasad Dudung Abdurachman
Tulus Mengabdi Untuk Rakyat",in,,,,33,2023-06-16T01:53:32.000Z,/maulida_ag/status/1669523573395038208
@hfydnng,"ngeliat postingan orang-orang tentang prj tahun ini, reaksi gue ""hah kok udah prj lagi? perasaan baru kemaren gue ke prj"" ",in,,,,34,2023-06-16T01:44:27.000Z,/hfydnng/status/1669521287235141633
